STATE,WEBSITE ADDRESS,,GPS
ALABAMA,http://www.doc.state.al.us/inmsearch.asp,No Pics,
ALASKA,,,
ARIZONA,http://www.azcorrections.gov/inmate_datasearch/Index_Minh.aspx,Has Pics,
ARKANSAS,,Completed By Sean Has Pics,
CALIFORNIA,http://inmatelocator.cdcr.ca.gov/,No Pics,
COLORADO,http://www.doc.state.co.us/find-inmate,Not Sure Search Froze,
CONNECTICUT,http://www.ctinmateinfo.state.ct.us/,No Pics,
DELAWARE,http://www.doc.delaware.gov/services/offenderLocate.shtml,No Pics,
FLORIDA,,Completed By Sean Has Pics,
GEORGIA,http://www.dcor.state.ga.us/GDC/OffenderQuery/jsp/OffQryForm.jsp,Has Pics,
HAWAII,https://www.vinelink.com/vinelink/siteInfoAction.do?siteId=50000,,
IDAHO,https://www.accessidaho.org/public/corr/offender/search.html,No Pics,
ILLINOIS,,Completed By Sean Has Pics,
INDIANA,http://www.in.gov/apps/indcorrection/ofs/ofs,No Pics,
IOWA,http://www.doc.state.ia.us/OffenderInfo.asp,No Pics,
KANSAS,http://www.doc.ks.gov/kasper/index_html?YesNo=Please+Wait...,Has Pics,
KENTUCKY,http://corrections.ky.gov/communityinfo/Pages/KOOL.aspx,Has Pics,
LOUISIANA,,,
MAINE,,,
MARYLAND,http://www.dpscs.state.md.us/inmate/,No Pics,
MASSACHUSETTS,http://www.mass.gov/eopss/agencies/doc/locate-an-offender.html,No Pics,
MICHIGAN,,Completed By Sean Has Pics,
MINNESOTA,http://www.doc.state.mn.us/publicviewer/main.asp,Has Pics,
MISSISSIPPI,,Completed By Sean Has Pics,
MISSOURI,https://web.mo.gov/doc/offSearchWeb/,,
MONTANA,https://app.mt.gov/conweb/,Has Pics,
NEBRASKA,http://dcs-inmatesearch.ne.gov/Corrections/COR_input.html,Has Pics,
NEVADA,"http://www.doc.nv.gov/inmatesearch/form.php
",Has Pics,
NEW HAMPSHIRE,"http://www4.egov.nh.gov/Inmate_Locator
",No Pics,
NEW JERSEY,https://www6.state.nj.us/DOC_Inmate/inmatefinder?i=I,Has Pics,
NEW MEXICO,http://corrections.state.nm.us:8080/ofndrsearch/,Has Pics,
NEW YORK,http://nysdoccslookup.doccs.ny.gov/,No Pics,
NORTH CAROLINA,http://webapps6.doc.state.nc.us/opi/offendersearch.do?method=view,Few Pics,
NORTH DAKOTA,http://www.nd.gov/docr/offenderlkup/index.asp,,
OHIO,http://www.drc.ohio.gov/offendersearch/search.aspx,Has Pics,
OKLAHOMA,,Completed By Sean Has Pics,
OREGON,http://docpub.state.or.us/OOS/intro.jsf,Has Pics,
PENNSYLVANIA,http://inmatelocator.cor.state.pa.us/inmatelocatorweb/,No Pics,
RHODE ISLAND,http://www.doc.ri.gov/inmate_search/index.php,No Pics,
SOUTH CAROLINA,https://sword.doc.state.sc.us/scdc-public/,Has Pics,
SOUTH DAKOTA,,,
TENNESSEE,https://apps.tn.gov/foil/foil_index.jsp;jsessionid=CC40111AA0CD8E0A9624C5A169F8DD54.portalprod7,No Pics,
TEXAS,http://offender.tdcj.state.tx.us/POSdb2/index.jsp,No Pics,
UTAH,http://corrections.utah.gov/services/offender_search.html,Has Pics,
VERMONT,http://doc.vermont.gov/offender-locator/,No Pics,
VIRGINIA,http://www.vadoc.state.va.us/offenders/locator/index.cfm,No Pics,
WASHINGTON,http://www.doc.wa.gov/offenderinfo/default.aspx,No Pics,
WEST VIRGINIA,http://www.wvdoc.com/wvdoc/OffenderSearch/tabid/117/Default.aspx,Has Pics,
WISCONSIN,,Completed By Sean Has Pics,
WYOMING,,,
Red=No URL,Purple = Done,Yellow = No Pics,
